LONGITUD LATITUD ARCHIVO PROMEDIO DIAS NOMBRE
 -60.78  -32.92 NH0133.DAT    59.6   7 Rosario- SMN                    
 -65.48  -24.85 NH0012.DAT    18.0   7 Salta- SMN                      
 -64.95  -40.73 NH0241.DAT     0.0   7 San Antonio Oeste- SMN          
 -69.03  -33.77 NH0143.DAT     0.0   6 San Carlos - SMN                
 -58.58  -34.45 NH0553.DAT    52.0   6 San Fernando - SMN              
 -68.42  -31.57 NH0495.DAT     0.0   7 San Juan- SMN                   
 -67.75  -49.32 NH0285.DAT     0.1   7 San Julian - SMN                
 -66.35  -33.27 NH0139.DAT    19.3   7 San Luis- SMN                   
 -68.42  -33.08 NH0370.DAT     0.0   7 San Martin(Mza.)- SMN           
 -59.68  -33.68 NH0492.DAT    12.0   7 San Pedro-INTA                  
 -68.40  -34.58 NH0325.DAT     3.4   7 San Rafael - SMN                
 -68.57  -50.02 NH0289.DAT     0.2   7 Santa Cruz - SMN                
 -64.27  -36.57 NH0192.DAT    33.0   7 Santa Rosa- SMN                 
 -65.32  -32.67 NH0572.DAT    14.0   7 Santa Rosa de Conlara - SMN     
 -64.30  -27.77 NH0062.DAT    21.0   7 Santiago del Estero- SMN        
 -60.82  -31.70 NH0451.DAT    96.0   7 Sauce Viejo- SMN                
 -59.25  -37.23 NH0311.DAT    26.0   7 Tandil- SMN                     
 -63.82  -22.65 NH0326.DAT    53.5   7 Tartagal- SMN                   
 -67.57  -28.07 NH0065.DAT     0.0   7 Tinogasta - SMN                 
 -65.26  -43.20 NH0258.DAT     7.1   7 Trelew - SMN                    
 -62.74  -35.97 NH0185.DAT    32.0   6 Trenque Lauquen - SMN           
 -60.25  -38.33 NH0490.DAT    46.0   7 Tres Arroyos- SMN               
 -65.10  -26.85 NH0017.DAT    40.0   7 Tucuman- SMN                    
 -68.32  -54.80 NH0298.DAT     7.1   7 Ushuaia- SMN                    
 -69.33  -32.60 NH0308.DAT     0.0   7 Uspallata - SMN                 
 -61.95  -33.75 NH0551.DAT    23.0   7 Venado Tuerto- SMN              
 -65.43  -36.22 NH0188.DAT    15.0   7 Victorica - SMN                 
 -63.02  -40.85 NH0501.DAT     0.2   7 Viedma- SMN                     
 -65.13  -31.95 NH0117.DAT     1.0   7 Villa Dolores- SMN              
 -57.00  -37.25 NH0013.DAT    17.0   7 Villa Gesell - SMN              
 -63.68  -29.90 NH0082.DAT     8.0   7 V.Maria del Rio Seco- SMN       
 -58.48  -34.58 NH0156.DAT    62.0   7 V.Ortuzar- SMN                  
 -65.38  -33.73 NH0335.DAT    14.0   7 Villa Reynolds- SMN             
 -58.08  -29.23 NH0075.DAT    99.0   7 Mercedes- SMN                   
 -61.50  -31.27 NH0573.DAT    71.0   7 Rafaela- SMN                    
 -61.33  -30.97 NH0574.DAT    75.0   7 Sunchales - SMN                 
 -58.42  -34.57 NH0332.DAT    70.0   7 Buenos Aires- AERO- SMN         
